nID;nID_Subject;sOKPO;sFormPrivacy;sName;sNameFull
113;529;;;Самарський ДВС (Дніпро);Самарський відділ державної виконавчої служби міста Дніпра Головного територіального управління юстиції у Дніпропетровській області
114;530;;;Синельниківський міськрайонний ДВС;Синельниківський міськрайонний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
115;531;;;Соборний ДВС (Дніпро);Соборний відділ державної виконавчої служби міста Дніпра Головного територіального управління юстиції у Дніпропетровській області
116;532;;;Солонянський районний відділ ДВС;Солонянський районний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
117;533;;;Софіївський районний відділ ДВС;Софіївський районний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
118;534;;;Тернівський ДВС (Кривий Ріг);Тернівський відділ державної виконавчої служби міста Кривий Ріг Головного територіального управління юстиції у Дніпропетровській області
119;535;;;Тернівський міський відділ ДВС;Тернівський міський відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
120;536;;;Томаківський районний відділ ДВС;Томаківський районний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
121;537;;;Царичанський районний відділ ДВС;Царичанський районний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
122;538;;;Центральний ДВС (Дніпро);Центральний відділ державної виконавчої служби міста Дніпра Головного територіального управління юстиції у Дніпропетровській області
123;539;;;Центрально-Міський ДВС (Кривий Ріг);Центрально-Міський відділ державної виконавчої служби міста Кривий Ріг Головного територіального управління юстиції у Дніпропетровській області
124;540;;;Чечелівський ДВС (Дніпро);Чечелівський відділ державної виконавчої служби міста Дніпра Головного територіального управління юстиції у Дніпропетровській області
125;541;;;Шевченківський ДВС (Дніпро);Шевченківський відділ державної виконавчої служби міста Дніпра Головного територіального управління юстиції у Дніпропетровській області
126;542;;;Широківський районний відділ ДВС;Широківський районний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
127;543;;;Юр’ївський районний відділ ДВС;Юр’ївський районний відділ державної виконавчої служби Головного територіального управління юстиції у Дніпропетровській області
128;544;;;Амур-Ніжньодніпровський ДРАЦС (Дніпро);Амур-Ніжньодніпровський районний у місті Дніпропетровську  відділ державної реєстрації актів цивільного стану 
129;545;;;Шевченківський ДРАЦС (Дніпро);Шевченківський районний у місті Дніпрі відділ державної реєстрації актів цивільного стану
130;546;;;Соборний ДРАЦС (Дніпро);Соборний районний у місті Дніпрі відділ державної реєстрації актів цивільного стану
131;547;;;Індустріальний ДРАЦС (Дніпро);Індустріальний районний у місті Дніпропетровську відділ державної реєстрації актів цивільного стану 
132;548;;;Центральний ДРАЦС (Дніпро);Центральний районний у місті Дніпрі відділ державної реєстрації актів цивільного стану
133;549;;;Чечелівський ДРАЦС (Дніпро);Чечелівський районний у місті Дніпрі відділ державної реєстрації актів цивільного стану 
134;550;;;Новокодацький ДРАЦС (Дніпро);Новокодацький районний у місті Дніпрі відділ державної реєстрації актів цивільного стану
135;551;;;Самарський ДРАЦС (Дніпро);Самарський районний у місті Дніпропетровську відділ державної реєстрації актів цивільного стану 
136;552;;;Металургійний ДРАЦС (Кривий Ріг);Металургійний районний у місті Кривому Розі відділ державної реєстрації актів цивільного стану
137;553;;;Довгинцівський ДРАЦС (Кривий Ріг);Довгинцівський районний у місті Кривому Розі відділ державної реєстрації актів цивільного стану 
138;554;;;Покровський ДРАЦС (Кривий Ріг);Покровський районний у місті Кривому Розі відділ державної реєстрації актів цивільного стану
139;555;;;Тернівський ДРАЦС (Кривий Ріг);Тернівський районний у місті Кривому Розі відділ державної реєстрації актів цивільного стану 
140;556;;;Центрально-Міський ДРАЦС (Кривий Ріг);Центрально-Міський районний у місті Кривому Розі відділ державної реєстрації актів цивільного стану 
141;557;;;Південний ДРАЦС (Кам’янське);Південний районний у місті Кам’янське відділ державної реєстрації актів цивільного стану
142;558;;;Дніпровський ДРАЦС (Кам’янське);Дніпровський районний у місті Кам’янське  відділ державної реєстрації актів цивільного стану
143;559;;;Заводський ДРАЦС (Кам’янське);Заводський районний у місті Кам’янське відділ державної реєстрації актів цивільного стану
