nID;sName;nID_Region;sID_UA
136;Балаклія;24;6320210100
137;Синельникове;1;1213000000
138;Переяслав-Хмельницький;16;3211000000
139;Алушта;10;110300000
140;Трускавець;2;4611500000
141;Яни Капу (Красноперекопськ);10;111300000
142;Хрестівка (Кіровське);12;121655100
143;Костопіль;7;5623410100
144;Дебальцеве;12;1410900000
145;Перевальськ;18;4423610100
146;Саки;10;111400000
147;Знам'янка;17;3510600000
148;Тернівка;1;1213500000
149;Першотравенськ;1;1212600000
150;Хуст;14;2110800000
151;Чортків;9;6110300000
152;Лебедин;23;5910500000
153;Золотоноша;26;7110400000
154;Буча;16;3210800000
155;Новий Розділ;2;4610800000
156;Лиман (Красний Лиман);12;1413300000
157;Сарни;7;5625410100
158;Малин;13;1810900000
159;Хмільник;11;510900000
160;Бахчисарай;10;120410100
161;Селидове;12;1413800000
162;Берегове;14;2110200000
163;Канів;26;7110300000
164;Козятин;11;510500000
165;Новояворівськ;2;4625810500
166;Коростишів;13;1822510100
167;Попасна;18;4423810100
168;Виноградів;14;2121210100
169;Гайсин;11;520810100
170;Молодогвардійськ;18;4411470400
171;Кролевець;23;5922610100
172;Мерефа;24;6325110700
173;Волноваха;12;1421510100
174;Здолбунів;7;5622610100
175;Кремінна;18;4421610100
176;Славутич;16;3211500000
177;Докучаєвськ;12;1411600000
178;Люботин;24;6311200000
179;Олешки (Цюрупинськ);6;6525010100
180;Южне;21;5111700000
181;Армянськ;10;111500000
182;Вільногірськ;1;1210200000
183;Яготин;16;3225510100
184;Суходільськ;18;4411470700
185;Золочів;2;6322655100
186;Тростянець;23;5925010100
187;Броди;2;4620310100
188;Полонне;25;6823610100
189;Вишгород;16;3221810100
190;Гадяч;22;5310300000
191;Красноград;24;6323310100
192;Кілія;21;5122310100
193;Старобільськ;18;4425110100
194;Ладижин;11;510600000
195;Пологи;15;2324210100
196;Амвросіївка;12;1420610100
197;Кременець;9;6110700000
198;Генічеськ;6;6522110100
199;Сокаль;2;4624810100
200;Курахове;12;1423310600
201;Дніпрорудне;15;2320910400
202;Волочиськ;25;6820910100
203;Надвірна;3;2624010100
204;Долина;3;2622010100
205;Стебник;2;4610670500
206;Вовчанськ;24;6321610100
207;Красилів;25;6822710100
208;П'ятихатки;1;1224510100
209;Рені;21;5124110100
210;Бахмач;28;7420310100
211;Дергачі;24;6322010100
212;Ватутіне;26;7110200000
213;Калинівка;11;521610100
214;Балта;21;5110200000
215;Звенигородка;26;7121210100
216;Зугрес;12;1415070500
217;Скадовськ;6;6524710100
218;Сватове;18;4424010100
219;Шпола;26;7125710100
220;Новоукраїнка;17;3524010100
221;Корсунь-Шевченківський;26;7122510100
222;Лутугине;18;4422210100
223;Білогірськ;10;120710100
224;Долинська;17;3521910100
225;Ізяслав;25;6822110100
226;Білопілля;23;5920610100
227;Богодухів;24;6320810100
228;Сквира;16;3224010100
229;Карлівка;22;5321610100
230;Оріхів;15;2323910100
231;Білозерське;12;1411570500
232;Золоте;18;4423810800
233;Бунге (Юнокомунарівськ);12;1412070700
234;Підгородне;1;1221411000
235;Роздільна;21;5123910100
236;Городок;25;6821210100
237;Червонопартизанськ;18;4412770600
238;Іловайськ;12;1415070800
239;Бережани;9;6110500000
240;Новогродівка;12;1413600000
241;Вугледар;12;1414800000
242;Березань;16;3210400000
243;Путивль;23;5923810100
244;Болград;21;5121410100
245;Бар;11;520210100
246;Свалява;14;2124010100
247;Богуслав;16;3220610100
248;Гуляйполе;15;2321810100
249;Зміїв;24;6321710100
250;Овруч;13;1824210100
251;Верхньодніпровськ;1;1221010100
252;Очаків;20;4810300000
253;Красногорівка;12;1423310400
254;Ківерці;8;721810100
255;Пирятин;22;5323810100
256;Миколаївка;12;5123555100
257;Часів Яр;12;1410370600
258;Вільнянськ;15;2321510100
259;Дунаївці;25;6821810100
260;Апостолове;1;1220310100
261;Тальне;26;7124010100
262;Арциз;21;5120410100
263;Новий Буг;20;4824510100
264;Тульчин;11;524310100
265;Гайворон;17;3521110100
266;Городок;2;4620910100
267;Гола Пристань;6;6510300000
268;Носівка;28;7423810100
269;Жашків;26;7120910100
270;Городище;26;7120310100
271;Василівка;15;2320910100
272;Кам'янка-Дніпровська;15;2322410100
273;Петрово-Красносілля (Петровське);18;4411670900
274;Берислав;6;6520610100
275;Снігурівка;20;4825710100
276;Радомишль;13;1825010100
277;Бурштин;3;2610300000
278;Рахів;14;2123610100
279;Новгород-Сіверський;28;7410500000
280;Кам'янка;26;7121810100
281;Тетіїв;16;3224610100
282;Миколаїв;2;4623010100
283;Острог;7;5610900000
284;Зеленодольськ;1;1220310300
285;Боково-Хрустальне (Вахрушеве);18;4411670300
286;Хорол;22;5324810100
287;Сторожинець;27;7324510100
288;Судак;10;111700000
289;Сіверськ;12;1420910400
290;Корюківка;28;7422410100
291;Біляївка;21;5110500000
292;Гірник;12;4611845300
293;Українка;16;3223110500
294;Нова Одеса;20;4824810100
295;Городня;28;7421410100
296;Щастя;18;4423110100
297;Кагарлик;16;3222210100
298;Жданівка;12;1412100000
299;Березне;7;5620410100
300;Теребовля;9;6125010100
301;Винники;2;4610160300
302;Рожище;8;724510100
303;Яворів;2;4625810100
304;Жовква;2;4622710100
305;Тараща;16;3224410100
306;Миронівка;16;3222910100
307;Бершадь;11;520410100
308;Українськ;12;1413870900
309;Збараж;9;6122410100
310;Новомиргород;17;3523810100
311;Узин;16;3220410500
312;Світлодарськ;12;1420910600
313;Соледар;12;1410370300
314;Баштанка;20;4820610100
315;Мала Виска;17;3523110100
316;Ірміно;18;4413170800
317;Барвінкове;24;6320410100
318;Приморськ;15;2324810100
319;Мена;28;7423010100
320;Глобине;22;5320610100
321;Гнівань;11;524510500
322;Кальміуське (Комсомольське);12;1424510400
323;Ічня;28;7421710100
324;Новоазовськ;12;1423610100
325;Баранівка;13;1820610100
326;Бучач;9;6121210100
327;Лохвиця;22;5322610100
328;Сновськ (Щорс);28;7425810100
329;Бобринець;17;3520810100
330;Немирів;11;523010100
331;Кобеляки;22;5321810100
332;Родинське;12;1413270600
333;Чигирин;26;7125410100
334;Бобровиця;28;7420610100
335;Соснівка;2;4611870400
336;Жидачів;2;4621510100
337;Ямпіль;11;1423056400
338;Моспине;12;1410160500
339;Борзна;28;7420810100
340;Щолкіне;10;122710500
341;Буринь;23;5920910100
342;Кам'янка-Бузька;2;4622110100
343;Гребінка;22;5320810100
344;Христинівка;26;7124610100
345;Гірське;18;4423810500
346;Таврійськ;6;6510770800
347;Борщів;9;6120810100
348;Зимогір'я;18;4424510300
349;Хотин;27;7325010100
350;Іллінці;11;521210100
351;Помічна;17;3521710300
352;Олевськ;13;1824410100
353;Камінь-Каширський;8;721410100
354;Татарбунари;21;5125010100
355;Погребище;11;523410100
356;Мар'їнка;12;1423310100
357;Болехів;3;2610200000
358;Інкерман;19;8536310300
359;Зіньків;22;5321310100
360;Ходорів;2;4621510500
361;Снятин;3;2625210100
362;Деражня;25;6821510100
363;Любомль;8;723310100
364;Валки;24;6321210100
365;Новодністровськ;27;7310600000
366;Радивилів;7;5625810100
367;Вуглегірськ;12;1420910200
368;Сокиряни;27;7324010100
369;Верхівцеве;1;1221010300
370;Заліщики;9;6122010100
371;Старий Крим;10;121610400
372;Білицьке;12;1411570300
373;Перещепине;1;1223210500
374;Андрушівка;13;1820310100
375;Пустомити;2;4623610100
376;Городенка;3;2621610100
377;Тисмениця;3;2625810100
378;Тячів;14;2124410100
379;Семенівка;28;7424710100
380;Дубровиця;7;5621810100
381;Кодима;21;5122510100
382;Іршава;14;2121910100
383;Березівка;21;5121210100
384;Ананьїв;21;5120210100
385;Монастирище;26;7123410100
386;Липовець;11;522210100
387;Вилкове;21;5122310300
388;Радехів;2;4623910100
389;Мостиська;2;4622410100
390;Кипуче (Артемівськ);18;4423610300
391;Новодружеськ;18;4411870400
392;Заводське (Червонозаводське);22;5322610600
393;Алупка;10;111970200
394;Горохів;8;720810100
395;Привілля;18;4411870700
396;Чоп;14;2111000000
397;Заставна;27;7321510100
398;Зоринськ;18;4423610600
399;Тлумач;3;2625610100
400;Теплодар;21;5111500000
401;Ланівці;9;6123810100
402;Буськ;2;4620610100
403;Корець;7;5623010100
404;Рогатин;3;2624410100
405;Південне;24;6325111000
406;Дубляни;2;4624255300
407;Ржищів;16;3211300000
408;Новоселиця;27;7323010100
409;Ворожба;23;5920610300
410;Косів;3;2623610100
411;Почаїв;9;6123410500
412;Рава-Руська;2;4622710400
413;Молочанськ;15;2325210100
414;Яремче;3;2611000000
415;Турка;2;4625510100
416;Кіцмань;27;7322510100
417;Перемишляни;2;4623310100
418;Благовіщенське (Ульяновка);17;3525510100
419;Середина-Буда;23;5924410100
420;Зборів;9;6122610100
421;Хоростків;9;6121611000
422;Остер;28;7422010400
423;Шаргород;11;525310100
424;Перечин;14;2123210100
425;Олександрівськ;18;4410160300
426;Копичинці;9;6121610400
427;Сколе;2;4624510100
428;Залізне (Артемове);12;1411270300
429;Судова Вишня;2;4622410500
430;Галич;3;2621210100
431;Моршин;2;4610700000
432;Монастириська;9;6124210100
433;Міусинськ;18;4411670600
434;Вашківці;27;7320510400
435;Великі Мости;2;4624810600
436;Чуднів;13;1825810100
437;Дружба;23;7421755300
438;Старий Самбір;2;4625110100
439;Шумськ;9;6125810100
440;Святогірськ;12;1414170500
441;Алмазна;18;4413170200
442;Вижниця;27;7320510100
443;Добромиль;2;4625110300
444;Рудки;2;4624210400
445;Хирів;2;4625110700
446;Скалат;9;6124610500
447;Комарно;2;4620910400
448;Бібрка;2;4623310300
449;Новий Калинів;2;4624210300
450;Глиняни;2;4621810200
451;Підгайці;9;6124810100
452;Батурин;28;7420310300
453;Белз;2;4624810300
454;Устилуг;8;720510400
455;Герца;27;7320710100
456;Берестечко;8;720810300
457;Угнів;2;4624810900
458;Вільшана;26;5923584401
459;"Недригайлівський район/смт Недригайлів";23;5923500000
460;Недригайлів;23;5923555100
461;Вакулки;23;5923555101
462;Віхове;23;5923555102
463;Теплик;11;0523755100
464;Глеваха;16;3221455300
465;Тернопільський район;9;6125200000
466;Царичанський район;1;1225600000
467;Колонщина;16;3222782601
468;Теплицький район;11;0523700000
469;Вишгородський район;16;3221800000
470;Дніпровський (Дніпропетровський) район;1;1221400000
471;Костопольський район;7;5623400000
472;Новопсковський район;18;4423300000
473;Смілянський район;26;7123700000
474;Шепетівський район;25;6825500000
475;Харківський район;24;6325100000
476;Наддвірнянський район;3;2624000000
477;Зоря;7;5624684900
478;Єлизаветівка;1;1223780800
479;Богодухівський район;24;6320800000
480;Балаклійський район;24;6320200000
481;Апостолівський район;1;1220300000
482;Підгаєцький район;9;6124800000
483;Острозький район;7;5624200000
484;Заліщицький район;9;6122000000
485;Чортківський район;9;6125500000
486;Каланчацький район;6;6523200000
487;Золотоніський район;26;7121500000
488;Канівський район;26;7122000000
489;Лисянський район;26;7122800000
490;Катеринопільський район;26;7122200000
491;Генічеський район;6;6522100000
492;Уманський район;26;7124300000
493;Горностаївський район;6;6522600000
494;Новопсков;18;4423355100
495;Макарів;16;3222755100
496;Васильківський район;1;1220700000
497;Верхньодніпровський район;1;1221000000
498;Криворізький район;1;1221800000
499;Криничанський район;1;1222000000
500;Магдалинівський район;1;1222300000
501;Межівський район;1;1222600000
502;Нікопольський район;1;1222900000
503;Новомосковський район;1;1223200000
504;П’ятихатський район;1;1224500000
505;Павлоградський район;1;1223500000
506;Петриківський район;1;1223700000
507;Петропавлівський район;1;1223800000
508;Покровський район;1;1224200000
509;Синельниківський район;1;1224800000
510;Солонянський район;1;1225000000
511;Софіївський район;1;1225200000
512;Томаківський район;1;1225400000
513;Широківський район;1;1225800000
514;Юр’ївський район;1;1225900000
515;Куп'янський район;24;6323700000
516;Мангушський (Першотравневий) район;12;1423900000
517;Борщівський район;9;6120800000
518;Бучацький район;9;6121200000
519;Гусятинський район;9;6121600000
520;Збаразький район;9;6122400000
521;Зборівський район;9;6122600000
522;Козівський район;9;6123000000
523;Кременецький район;9;6123400000
524;Лановецький район;9;6123800000
525;Монастириський район;9;6124200000
526;Підволочиський район;9;6124600000
527;Теребовлянський район;9;6125000000
528;Шумський район;9;6125800000
529;Бережанський район;9;6120400000
530;Барвінківський район;24;6320400000	
531;Близнюківський район;24;6320600000	
532;Борівський район;24;6321000000	
533;Валківський район;24;6321200000	
534;Великобурлуцький район;24;6321400000	
535;Вовчанський район;24;6321600000	
536;Дворічанський район;24;6321800000	
537;Дергачівський район;24;6322000000	
538;Зачепилівський район;24;6322200000	
539;Зміївський район;24;6321700000	
540;Золочівський район;24;6322600000	
541;Ізюмський район;24;6322800000	
542;Кегичівський район;24;6323100000	
543;Коломацький район;24;6323200000	
544;Красноградський район;24;6323300000	
545;Краснокутський район;24;6323500000	
546;Лозівський район;24;6323900000	
547;Нововодолазький район;24;6324200000	
548;Первомайський район;24;6324500000	
549;Печенізький район;24;6324600000	
550;Сахновщинский район;24;6324800000	
551;Чугуївський район ;24;6325400000	
552;Шевченківський район;24;6325700000
553;Охтирський район;23;5920300000
554;Лиманський (Комінтернівський) район;21;5122700000
555;Лохвицький район;22;5322600000
556;Пирятинський район;22;5323800000
557;Козельщинський район;22;5322000000
558;Великобагачанський район;22;5320200000
559;Гадяцький район;22;5320400000
560;Глобинський район;22;5320600000
561;Гребінківський район;22;5320800000
562;Диканський район;22;5321000000
563;Зіньківський район;22;5321300000
564;Карлівський район;22;5321600000
565;Кобеляцький район;22;5321800000
566;Котелевський район;22;5322200000
567;Кременчуцький район;22;5322400000
568;Лубенський район;22;5322800000
569;Машівський район;22;5323000000
570;Миргородський район;22;5323200000
571;Новосанжарський район;22;5323400000
572;Оржицький район;22;5323600000
573;Полтавський район;22;5324000000
574;Решетилівський район;22;5324200000
575;Семенівський район;22;5324500000
576;Хорольський район;22;5324800000
577;Чорнухинський район;22;5325100000
578;Чутівський район;22;5325400000
579;Шишацький район;22;5325700000
580;Васильківка;1;1220755100
581;Царичанка;1;1225655100
582;Варварівка (Юр'ївський р-н);1;1225980501
583;Кринички;1;1222055100
584;Магдалинівка;1;1222355100
585;Межова;1;1222655100
586;Петриківка;1;1223755100
587;Петропавлівка;1;1223855100
588;Покровське;1;1224255100
589;Солоне;1;1225055100
590;Софіївка;1;1225255100
591;Широке;1;1225855100
592;Слобожанське (Ювілейне);1;1221455800
593;Томаківка;1;1225455100
594;Давидів;2;4623682400
595;Доброслав (Комінтернівське);21;5122755100
596;Каховський район;6;6523500000
597;Голопристанський район;6;6522300000
598;Благодатне (Нововолинської міської ради);8;710745300
599;Маньківський район;26;7123100000
600;Корсунь-Шевченківський район;26;7122500000
601;Скадовський район;6;6524700000
602;Білозерський район;6;6520300000
603;Богуславський район;16;3220600000
604;Баришівський район;16;3220200000
605;Білоцерківський район;16;3220400000
606;Бориспільский район;16;3220800000
607;Броварський район;16;3221200000
608;Бородянський район;16;3221000000
609;Ананьївський район;21;5120200000
610;Арцизький район;21;5120400000
611;Балтський район;21;5120600000
612;Березівський район;21;5121200000
613;Білгород-Дністровський район;21;5120800000
614;Біляївський район;21;5121000000
615;Болградський район;21;5121400000
616;Великомихайлівський район;21;5121600000
617;Іванівський район;21;5121800000
618;Ізмаїльський район;21;5122000000
619;Кілійський район;21;5122300000
620;Кодимський район;21;5122500000
621;Володарський район;16;3221600000
622;Котовський район;21;5122900000
623;Красноокнянський район;21;5123100000
624;Любашівський район;21;5123300000
625;Миколаївський район;21;5123500000
626;Овідіопольський район;21;5123700000
627;Роздільнянський район;21;5123900000
628;Ренійський район;21;5124100000
629;Савранський район;21;5124300000
630;Саратський район;21;5124500000
631;Тарутинський район;21;5124700000
632;Татарбунарський район;21;5125000000
633;Фрунзівський район;21;5125200000
634;Ширяївський район;21;5125400000
635;Недобоївська ОТГ (Хотинський район);27;7325085601
636;Великий Любінь;2;4620955300
637;Обухівка;1;1221455400
638;Березанський район;20;4820900000
35331;Нововоронцовський район;6;6524100000
639;Коцюбинське;16;3210946200
640;Великоолександрівський район;6;6520900000
641;Верхньорогачицький район;6;6521500000
642;Нижньосірогозський район;6;6523800000
643;Новотроїцький район;6;6524400000
644;Нижні Сірогози;6;6523855100
645;Великолепетиський район;6;6521200000
