nID;nID_Service;nID_Place;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Server
88;649;NULL;NULL;NULL;1;{};https://kap.minjust.gov.ua/services/rrpdescription;true;1;true;"Отримання відомостей про зареєстровані речові права на нерухоме майно за: - вказаною адресою; - реєстраційним номером об'єкта нерухомості; - кадастровим номером земельної ділянки. Для одержання послуги потрібно бути зареєстрованим користувачем Кабінету електронних сервісів на сайті Министерства Юстиції";BankID,EDS;0
89;650;NULL;NULL;NULL;1;{};http://rrpdoc.informjust.ua/;false;1;false;"Пошук документу відбувається за параметрами документу: 1.1. Тип документу; 1.2. Індексний номер документу; 1.3. Дата формування документу – у форматі: ДД.ММ.РРРР, де ДД – число, ММ – місяць, РРРР – рік; 1.4. Час формування документу";BankID,EDS;0
90;651;NULL;NULL;NULL;1;{};https://kap.minjust.gov.ua/services/rbadescription;FALSE;1;FALSE;Для одержання послуги потрібно бути зареєстрованим користувачем Кабінету електронних сервісів на сайті Министерства Юстиції;BankID,EDS;0
91;652;NULL;NULL;NULL;1;{};http://dzmi.informjust.ua/;true;1;true;Реєстр містить інформацію про всі ЗМІ, які розповсюджуються на території України, а також про українські інформаційні агентства. Відомості надаються у вигляді витягів, в яких міститься інформація про засновника видання, його вид, назву, тираж, мову та ін.;BankID,EDS;0
92;653;NULL;NULL;NULL;1;{};http://dzmi.informjust.ua/;true;1;true;Доступ до інформації про легалізацію (реєстрацію) політичних партій, громадських організацій, профспілок, організацій роботодавців, асоціацій кредитних спілок, благодійних організацій та ін.;BankID,EDS;0
93;648;NULL;NULL;NULL;1;{};http://rgo.informjust.ua/;true;1;true;Можливість отримати відомості про реєстрацію об'єднань у формі громадської організації або громадської спілки.;BankID,EDS;0
94;47;67;67;NULL;4;{"processDefinitionId":"dnepr_cnap_233:1:1"};;false;225;true;;BankID,EDS;0
95;654;50001;NULL;1;4;{"processDefinitionId":"subsidiesUkraine:1:1"};;false;14;false;;BankID,EDS;0
96;1;50028;NULL;28;4;{"processDefinitionId":"common_mvd_1_hand:1:1"};;false;1;true;;BankID,EDS;0
97;4;37;37;NULL;4;{"processDefinitionId":"demo:1:58"};;true;1;true;;BankID,EDS;0
98;4;109;109;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;225;false;;BankID,EDS;0
99;1;50024;NULL;24;4;{"processDefinitionId":"common_mvd_1_hand:1:1"};;false;1;true;;BankID,EDS;0
100;655;50001;NULL;1;4;{"processDefinitionId":"dnepr_spravka_o_doxodax:1:1"};;false;1;false;;BankID,EDS;0
101;4;39;39;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;225;false;;BankID,EDS;0
102;656;1;1;NULL;4;{"processDefinitionId":"dnepr_mvd_2:1:1"};;false;1;true;;BankID,EDS;0
103;657;26;26;NULL;4;{"processDefinitionId":"khmelnitskij_mvk_2:1:1"};;false;1;false;;BankID,EDS;0
104;658;NULL;NULL;NULL;1;{};http://menr.in.ua/;FALSE;1;FALSE;Для подання декларації Вам знадобляться електронно-цифровий підпис;BankID,EDS;0
105;659;8;8;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_2:1:1"};;false;212;false;;BankID,EDS;0
106;96;8;8;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_3:1:1"};;false;1;false;;BankID,EDS;0
107;4;8;8;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;225;false;;BankID,EDS;0
108;1;21;21;NULL;4;{"processDefinitionId":"demo:1:58"};;true;1;true;;BankID,EDS;0
109;4;27;27;NULL;4;{"processDefinitionId":"cnap_293:1:1"};;false;212;false;;BankID,EDS;0
110;23;27;27;NULL;4;{"processDefinitionId":"zhitomir_mvk_2:1:1"};;false;1;false;;BankID,EDS;0
111;661;1;1;NULL;4;{"processDefinitionId":"post_spravka_o_doxodax_pens:1:1"};;false;1;false;;BankID,EDS;0
112;1398;182;182;NULL;4;{"processDefinitionId":"dnepr_cnap_220:1:1"};;false;225;false;;BankID,EDS;0
113;1;14;14;NULL;4;{"processDefinitionId":"demo:1:58"};;true;1;true;;BankID;0
114;8;5;5;NULL;4;{"processDefinitionId":"kalush_upszn_398:1:1"};;false;14;false;;BankID,EDS;0
115;11;516;516;NULL;4;{"processDefinitionId":"rda_360:1:1"};;false;212;false;;BankID,EDS;0
119;15;14;14;NULL;4;{"processDefinitionId":"dnepr_cnap_184:1:1"};;true;1;true;;BankID,EDS;0
120;667;8;8;NULL;4;{"processDefinitionId":"kuznetsovsk_mvk_5:1:1"};;false;1;false;;BankID,EDS;0
121;668;50005;6;NULL;4;{"processDefinitionId":"kiev_mda_3:1:595058"};;false;1;false;;BankID,EDS,KK;0
122;45;182;182;NULL;4;{"processDefinitionId":"dnepr_cnap_234:1:1"};;false;225;false;;BankID,EDS;0
123;1464;50001;NULL;1;4;{"processDefinitionId":"common_mreo_4:1:58"};;false;12;false;;BankID,EDS;0
124;669;14;14;NULL;4;{"processDefinitionId":"dnepr_cnap_184:1:1"};;true;1;true;;BankID,EDS;0
125;29;1;1;NULL;4;{"processDefinitionId":"dnepr_dms-89:1:1"};;false;89;false;;BankID,EDS;0
126;26;1;1;NULL;4;{"processDefinitionId":"dnepr_dms-89s:1:1"};;false;89;false;;BankID,EDS;0
