nID;nID_Subject_Source;sID_Private_Source;sName
387;471;48.08;Гидравлический инструмент
388;471;48.09;Деревообрабатывающий инструмент
389;471;48.10;Инструмент машинный, промышленный и приспособления
390;471;48.11;Камнеобрабатывающий инструмент
391;471;48.12;Механический инструмент
392;471;48.13;Пневматический инструмент
393;471;48.14;Слесарно-монтажные инструменты
394;471;48.15;Специальный инструмент
395;471;49.01;Компьютерная техника сетевое обрудование
396;471;49.02;Расходные материалы
397;471;49.03;Сетевое оборудование
398;471;49.04;офисная техника
399;471;49.05;профессиональное аудио и видео оборудование
400;471;49.06;осветительное оборудование
401;471;49.07;Навигационные приборы
402;471;49.08;Типографское оборудование
403;471;49.08.01;Расходные материалы
404;471;49.08.02;Запчасти, комплектующие
405;471;49.08.03;Ремонт, обслуживание
406;471;49.09;Программное обеспечение
407;471;49.09.01;Разработка программного обеспечения
408;471;50.01;Литье стальное
409;471;50.01.01;Литье чугунное
410;471;50.01.02;Литье цветное (центробежным способом)
411;471;50.01.03;Литье каменное
412;471;50.01.04;Литье марганцовиствое
413;471;50.02;Поковки и штамповки металлические молотовые
414;471;50.02.01;Поковки прессовые
415;471;50.03;Приборы контроля и регулирования
416;471;50.03.01;Наладка КИПиА
417;471;50.04;ОБОРУДОВАНИЕ СЦБ
418;471;50.05;ПРОМЫШЛЕННОЕ ВЕСОВОЕ ОБОРУДОВАНИЕ
419;471;50.06;Сварочное оборудование, Газопламенное оборудование для сварки и резки металлов
420;471;51.01;Автомобили грузовые
421;471;51.01.01;Ремонт автомобилей грузовых
422;471;51.01.02;Автомобили пожарные
423;471;51.02;Автомобили легковые (транспортные средства, предназначенные для перевозки пассажиров)
424;471;51.03;Автобусы
425;471;51.04;Автопогрузчики
426;471;51.04.01;Навесное оборудование к погрузчикам
427;471;51.05;Аэродромная техника
428;471;52.01;Запасные части к легковой технике
429;471;52.01.01;Ремонт легкового автотранспорта
430;471;52.02;Запасные части к грузовой технике
431;471;52.03;Запасные части к автобусам
432;471;52.04;Запасные части к автопогрузчикам
433;471;53.01;Подшипники качения
434;471;53.02;Подшипники скольжения
435;471;53.03;Запчасти к авиационной технике
436;471;54.01;Тракторы
437;471;54.01.01;Ремонт тракторов
438;471;54.01.02;Ремонт дизельных двигателей
439;471;54.01.03;Ремонт и техническое обслуживание наземного аэродромного оборудования
440;471;54.02;Машины сельскохозяйственные
441;471;54.03;Машины для животноводства, птицеводства и кормопроизводства
442;471;55.01;дорожно-строительня техника
443;471;55.01.01;Зап.части и навесное оборудование к коммунальной и дорожно-строительной технике
444;471;56.01;ЗАПАСНЫЕ ЧАСТИ К ТРАКТОРНОЙ И СЕЛЬСКОХОЗЯЙСТВЕННОЙ ТЕХНИКЕ
445;471;56.02;ЗАПАСНЫЕ ЧАСТИ К САМОЛЕТАМ
446;471;57.01;Пожарное оборудование
447;471;58.01;Вентиляционное оборудование
448;471;58.02;Кондиционеры
449;471;58.04;Трубы шахтные
450;471;59.01;Конструкции каркасов зданий
451;471;59.02;Конструкции и изделия (элементы) строительные из алюминия и алюминиевых сплавов
452;471;59.02.01;Механические и электрические системы защиты от солнца, элементы оформления окон
453;471;60.01;Оборудование телефонное и телеграфное
454;471;60.02;Аппаратура высокочастотной связи по контактным и распределительным сетям и комплекты зап.частей
455;471;60.03;шкафы телекоммуникационные
456;471;61.01;Лесоматериалы круглые
457;471;61.02;Щепа технологическая для производства
458;471;61.02.01;Древесный уголь
459;471;61.02.02;Топливные брикеты
460;471;61.03;Продукция шпалопиления
461;471;61.04;Изделия деревянные строительные
462;471;61.05;Пиломатериалы хвойных пород
463;471;62.00;Целлюлоза
464;471;62.01;Бумага
465;471;62.02;Бумага диаграммная
466;471;62.03;Картон (включая бумагу для гофрирования)
467;471;62.04;Тара транспортная из бумаги и картона
468;471;62.05;Биг-бэги
469;471;62.06;Пленка полипропиленовая
470;471;62.07;Мешки полипропиленовые, пакеты полиэтиленовые
471;471;62.08;Рукава для хранения сельскохозяйственной продукции
472;471;62.09;Книги научно-технические, справочники и др.
473;471;62.10;Макулатура
474;471;63.01;Материалы строительные нерудные
475;471;63.01.01;Базальтовая крошка
476;471;63.01.02;Мраморная крошка, мраморный щебень, мраморный песок
477;471;63.02;Песок строительный природный
478;471;63.03;Смеси асфальтобетонные дорожные, аэродромные и асфальтобетон (горячие и теплые)
479;471;63.04;Цемент
480;471;63.05;Цемент глиноземистый и цемент глиноземистый со специальными требованиями
481;471;63.06;Материалы стеновые (без стеновых железобетонных панелей)
482;471;63.07;Известь
483;471;63.08;Смеси бетонные и растворы строительные
484;471;63.09;Глина
485;471;63.10;Изделия керамические облицовочные
486;471;63.11;Изделия керамические кислотоупорные
487;471;63.12;Материалы тепло- и звукоизоляционные
488;471;63.13;Изделия минераловатные тепло- и звукоизоляционные
489;471;63.14;Материалы отделочные
490;471;63.14.1;Материалы отделочные. Подвесной потолок
491;471;63.14.2;Материалы отделочные. Гипсокартонные системы
492;471;63.14.3;Материалы отделочные. Строительно-отделочные смеси
493;471;63.14.4;Материалы отделочные. Напольные покрытия
494;471;63.14.5;Материалы отделочные. Инструмент
495;471;63.14.6;Материалы отделочные. Леса строительные
496;471;63.14.7;Материалы отделочные. Обои, краска для обоев, клей
497;471;63.14.8;Материалы отделочные
498;471;63.15;Материалы рулонные кровельные и гидроизоляционные (материалы мягкие кровельные и изоляционные)
499;471;63.16;Материалы с применением фольги
500;471;63.17;Шифер, листы асбестоцементные
