nID_FlowPropertyClass;sData;nID_Flow;bExclude;sName;sRegionTime;saRegionWeekDay;sDateTimeAt;sDateTimeTo;nLen;sLenType;sGroup
1;{"0 0/15 8-15 ? * SAT *":"PT15M"};45;false;Прийом сб;08:00-16:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;










1;{"0 0/15 9-14 ? * MON-FRI *":"PT15M"};62;false;Прийом пн-пт;09:00-15:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 17-18 ? * TUE,THU *":"PT15M"};62;false;Прийом вт,чт вечер;17:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 8-13 ? * SAT *":"PT15M"};62;false;Прийом сб;08:00-14:00;sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 8-16 ? * MON,WED *":"PT15M"};65;false;Прийом пн,ср;08:00-17:00;mo,we;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 8-19 ? * TUE,THU *":"PT15M"};65;false;Прийом вт,чт;08:00-20:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 8-14 ? * FRI,SAT *":"PT15M"};65;false;Прийом пт,сб;08:00-15:00;fr,sa;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/20 9-15 ? * MON,WED,FRI *":"PT20M"};66;false;Прийом пн,ср,пт;09:00-16:00;mo,we,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;
1;{"0 0/20 9-18 ? * TUE,THU *":"PT20M"};66;false;Прийом вт,чт;09:00-19:00;tu,th;01.01.2017  8:00:00;31.12.2035  19:00:00;20;Min;

1;{"0 0/15 9-18 ? * MON *":"PT15M"};67;false;прийом пн;09:00-19:00;mo;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-16 ? * TUE-FRI *":"PT15M"};67;false;прийом вт-пт;09:00-17:00;tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

1;{"0 0/15 9-16 ? * MON-FRI *":"PT15M"};68;false;прийом;09:00-17:00;mo,tu,we,th,fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;



1;{"0 0/15 9-16 ? * MON,TUE,WED,THU *":"PT15M"};71;false;Прийом основний;09:00-17:00;mo,tu,we,th;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;
1;{"0 0/15 9-14 ? * FRI *":"PT15M"};71;false;Прийом основний п'ятниця;09:00-15:00;fr;01.01.2017  8:00:00;31.12.2035  19:00:00;15;Min;

