nID;sName;sGroup_Activiti;nID_SubjectOrgan
101;Кіровський відділ ДВС м. Дніпропетровськ (dvs_619);dvs_kirov;128
102;Красногвардійський відділ ДВС м. Дніпропетровськ (dvs_619);dvs_krasn;128
103;Ленінський відділ ДВС м. Дніпропетровськ (dvs_619);dvs_lenin;128
104;Самарський відділ ДВС м. Дніпропетровськ (dvs_619);dvs_samar;128
105;Баглійський відділ ДВС м.Дніпродзержинськ (dvs_619);dvs_bagl;128
106;Дніпровський відділ ДВС м.Дніпродзержинськ (dvs_619);dvs_dnipro;128
107;Заводський відділ ДВС м.Дніпродзержинськ (dvs_619);dvs_zavod;128
108;Дзержинський відділ ДВС м.Кривий Ріг (dvs_619);dvs_dzer;128
109;Довгинцівський відділ ДВС м.Кривий Ріг (dvs_619);dvs_dovgin;128
110;Жовтневий відділ ДВС м.Кривий Ріг (dvs_619);dvs_zhovtKR;128
111;Інгулецький відділ ДВС м.Кривий Ріг (dvs_619);dvs_ingul;128
112;Саксаганський відділ ДВС м.Кривий Ріг (dvs_619);dvs_saks;128
113;Тернівський відділ ДВС м.Кривий Ріг (dvs_619);dvs_ternKR;128
114;Центрально-Міський відділ ДВС м.Кривий Ріг (dvs_619);dvs_cenmis;128
115;Апостолівський районний відділ ДВС (dvs_619);dvs_apostol;128
116;Васильківський районний відділ ДВС (dvs_619);dvs_vasil;128
117;Верхньодніпровський районний відділ ДВС (dvs_619);dvs_verhdnepr;128
118;Вільногірський міський відділ ДВС (dvs_619);dvs_vilnogirskT;128
119;Дніпропетровський районний відділ ДВС (dvs_619);dvs_dnepr;128
120;Жовтоводський міський відділ ДВС (dvs_619);dvs_zhvodT;128
121;Криворізький районний відділ ДВС (dvs_619);dvs_krivorog;128
122;Криничанський районний відділ ДВС (dvs_619);dvs_krinic;128
123;Магдалинівський районний відділ ДВС (dvs_619);dvs_magdal;128
124;Марганецький міський відділ ДВС (dvs_619);dvs_marganT;128
125;Межівський районний відділ ДВС (dvs_619);dvs_meziv;128
126;Нікопольський міськрайонний відділ ДВС (dvs_619);dvs_nikopol;128
127;Новомосковський міськрайонний відділ ДВС (dvs_619);dvs_novomosk;128
128;Орджонікідзевський міський відділ ДВС (dvs_619);dvs_ordzonikT;128
129;Павлоградський міськрайонний відділ ДВС (dvs_619);dvs_pavlograd;128
130;Першотравенський міський відділ ДВС (dvs_619);dvs_persotravT;128
131;Петриківський районний відділ ДВС (dvs_619);dvs_petrik;128
132;Петропавлівський районний відділ ДВС (dvs_619);dvs_petropavl;128
133;Покровський районний відділ ДВС (dvs_619);dvs_pokrov;128
134;П’ятихатський районний відділ ДВС (dvs_619);dvs_piatihat;128
135;Синельниковський міськрайонний відділ ДВС (dvs_619);dvs_sineln;128
136;Солонянський районний відділ ДВС (dvs_619);dvs_solon;128
137;Софіївський районний відділ ДВС (dvs_619);dvs_sofiiv;128
138;Тернівський міський відділ ДВС (dvs_619);dvs_ternovka;128
139;Томаківський районний відділ ДВС (dvs_619);dvs_tomak;128
140;Царичанський районний відділ ДВС (dvs_619);dvs_carich;128
141;Широківський районний відділ ДВС (dvs_619);dvs_shirok;128
142;Юр’ївський районний відділ ДВС (dvs_619);dvs_jurivsk;128
143;Відділ примусового виконання рішень Управління ДВС (dvs_619);dvs_dnepr_prymus;128
144;ДМС, м. Кременець, вул.Драгоманова, 9 (dms_0176_Zagran_iGov);demoavir;2
145;Давидівська сільська рада (scadovsk_mvk-302);mvk_forma3_skadovsk;2
146;Черкаське обласне управління лісового та мисливського господарства (cherkasy_lmg_415);ulmg_cherk;5
147;Каховський районний відділ державної реєстрації актів цивільного стану;racs_khers_kahovka;758
148;Дніпропетровське обласне управління Лісового та мисливського господарства;ulmg_dnepr;5
149;Днепр,регистрация, АНД_Индустриальный;registration_dnepr_and_ind;2
150;Днепр,регистрация, Чечел_Шевч;registration_dnepr_shev_chech;2
151;Днепр,регистрация, Центр_Собор;registration_dnepr_centr_sob;2
152;Днепр,регистрация, Новокодацкий;registration_dnepr_novokod;2
